
  Obs  ID  sex  smoked    _NAME_        ebGroup         ebtime
    1   1    0       0  Estimate  -2.2949610899     0.02554446
    2   2    0       0  Estimate   2.3614528884  -0.0868583006
    3   3    0       1  Estimate  -2.6779321846   0.0766117999
    4   4    0       1  Estimate  -4.1543861443   0.1223237199
    5   5    0       0  Estimate  -1.5679320113   0.1001390307
    6   6    0       0  Estimate  -1.4662573919    0.124462993
    7   7    1       1  Estimate   6.5968137213  -0.2474750012
    8   8    1       1  Estimate     1.49418444   0.0061686326
    9   9    0       1  Estimate   2.0045591812  -0.1014554663
   10  10    0       1  Estimate  -4.8635935454   0.1347287404
   11  11    0       0  Estimate   1.7176941952  -0.0802300402
   12  12    1       0  Estimate   7.5186791843  -0.1851537694
   13  13    1       0  Estimate   4.0182847848  -0.2557763414
   14  14    0       0  Estimate  -4.6470435885    0.270119051
   15  15    0       1  Estimate  -4.0395624393   0.0968504916
